name,x,y
n_18284,-80.02472286,34.483805
n_18285,-80.13586117,34.40854529
n_18289,-79.06670581,33.81422622
n_18290,-80.52919894,34.24159702
n_18291,-80.68344992,34.264981
n_18292,-80.69990705,34.33352359
n_18293,-80.37068088,34.36022
n_18294,-80.55050887,34.34964196
n_18295,-80.32306891,34.40370701
n_18296,-80.68397902,34.58917999
n_18297,-80.62886891,34.57225695
n_18298,-80.48109991,34.68552001
n_18299,-80.61549695,34.62215695
n_18301,-81.65038391,34.254302
n_18302,-81.41749819,34.39922506
n_18303,-81.66550292,34.25172296
n_18304,-81.6305439,34.25776599
n_18308,-82.7739557,34.70948547
n_18310,-79.47538492,33.71325598
n_1834,-78.88850487,36.52486756
n_1837,-78.45203448,35.78198343
n_18493,-78.34444227,35.56635362
n_1850,-79.07560464,35.96732468
n_1851,-79.09434511,35.92086673
n_18688,-79.92272204,34.97316528
n_18689,-78.0118723,33.96080121
n_18690,-81.39484834,35.75315446
n_18691,-81.45948086,35.79704396
n_18692,-79.19542972,36.51585339
n_18693,-77.99332092,35.08853496
n_18694,-80.29067683,36.02903079
n_18696,-78.64133987,36.37405396
n_18698,-79.18366512,34.91532157
n_18699,-79.23075489,35.48116099
n_18700,-81.92755738,35.72292179
n_18703,-80.85340021,35.41661529
n_18705,-79.03418195,36.47262317
n_18706,-79.70818494,35.74718597
n_18707,-79.74708487,35.761003
n_18708,-79.62457694,35.79131601
n_18709,-79.64939389,35.74836196
n_18710,-79.76121591,35.74147098
n_18865,-78.43782187,36.29999598
n_18866,-78.48700661,36.32151889
n_18867,-77.91577403,36.4764432
n_18868,-78.08285187,35.22051597
n_18869,-77.84180486,35.81767298
n_18870,-80.62707982,36.13501568
n_19163,-82.78786764,34.71648245
n_19221,-78.82545642,35.75013947
n_19222,-78.94475233,35.65586031
n_19223,-78.80173982,35.79747472
n_19224,-78.76688698,35.88979631
n_19230,-78.68559538,35.78808838
n_19233,-78.692485,35.80795777
n_1924,-78.78205182,34.87916605
n_19358,-80.61723384,36.44642698
n_19629,-78.99914792,33.79222848
n_20153,-79.04929548,35.99572846
n_20311,-77.65654378,36.47720526
n_2042,-77.64767316,36.47984625
n_20562,-79.10379968,36.47414808
n_207,-82.7918404,34.71445096
n_20880,-78.86400429,36.09422751
n_20881,-78.8510496,36.10388588
n_20882,-78.82789121,36.05138969
n_20883,-78.77848513,36.12565217
n_20895,-78.80259349,36.07061709
n_20896,-79.0736082,36.47973337
n_20897,-78.80243287,36.07093897
n_2106,-78.85227423,35.87451119
n_21118,-78.85121974,35.87701249
n_21135,-78.85019135,35.88345226
n_21284,-80.90999227,35.4266629
n_21285,-80.87821482,35.45803497
n_21559,-82.24601878,34.68892427
n_21560,-82.25662887,34.68562815
n_21770,-82.58576144,34.83315318
n_218,-78.9229136,36.0110745
n_22537,-78.9914243,34.59609832
n_22538,-80.9863762,35.22905481
n_22539,-77.74815217,36.03895068
n_22540,-77.75238719,36.0430515
n_22541,-78.95354198,36.43904387
n_22542,-79.0524739,36.47556462
n_22543,-79.07135082,36.47879336
n_22544,-78.00623483,33.94672495
n_22546,-78.7410005,35.65046032
n_22548,-78.55831901,35.761699
n_22549,-78.453969,35.78470866
n_22589,-78.37803827,35.77076222
n_22590,-77.99314889,35.77337762
n_22591,-78.71097772,35.4123741
n_22592,-78.77181199,35.56420466
n_22602,-80.61023605,36.45566146
n_22609,-81.10752686,36.16390908
n_22611,-78.22631103,34.32411169
n_22612,-78.97078577,34.58670156
n_22779,-78.86341257,36.47459147
n_22813,-78.83970388,35.81953366
n_22814,-78.60302017,35.89528806
n_22815,-78.65425351,35.90973867
n_22816,-78.71765122,35.9162625
n_22817,-78.568589,35.93487028
n_22818,-78.50620622,35.7156508
n_22867,-78.9117988,35.00935541
n_22868,-78.86908014,35.11718336
n_229,-82.81000896,34.69124117
n_23582,-77.34604891,34.73864337
n_23583,-77.36078407,34.74769298
n_23584,-77.42180303,34.77048249
n_23585,-77.42409167,34.77972281
n_23586,-77.42762421,34.79393282
n_23596,-76.81036033,34.75253497
n_23598,-77.16747965,35.06162557
n_23599,-77.16909518,35.06289036
n_23600,-78.00088653,35.28413948
n_23766,-78.88250097,34.96085768
n_23767,-78.97247128,35.12591138
n_23768,-77.99381562,34.31210241
n_23769,-77.88126507,34.25507992
n_23770,-77.88099908,34.25514259
n_23771,-77.71277804,34.40372858
n_23772,-77.48773237,34.7345168
n_23773,-77.5041772,34.79998319
n_23774,-78.99484544,34.26963806
n_23775,-79.5520352,34.68943962
n_23776,-79.09972744,34.58307056
n_23777,-79.26012711,34.64894197
n_23778,-79.35260013,34.35874346
n_23779,-77.22596437,34.81294646
n_23780,-77.18735469,34.8562275
n_23781,-77.14499787,35.11619659
n_23782,-77.66216148,35.22219519
n_23783,-76.84061209,35.14866102
n_23784,-76.8675876,35.29441511
n_23785,-76.81177761,35.30808366
n_23786,-77.33498697,35.61986702
n_23787,-77.35927068,35.62143388
n_23788,-77.97734214,34.82106499
n_23789,-78.11662547,34.98249052
n_23790,-78.38894041,35.22637951
n_23792,-79.71064768,34.91857728
n_23793,-78.97967353,34.96803289
n_23797,-79.82083431,33.5483003
n_23798,-79.93221975,33.55306121
n_23799,-79.80256374,33.65794977
n_23800,-79.80241229,33.65944692
n_23801,-79.81279475,33.66391011
n_23802,-79.81588477,33.73042326
n_23803,-79.43099368,33.71631416
n_23804,-79.0841025,33.8132243
n_23805,-79.42692953,33.37563359
n_23809,-80.44290264,33.77724659
n_23810,-80.44428084,33.78267698
n_23812,-79.84042549,34.50629519
n_23813,-79.92823194,34.2500721
n_23814,-79.92845284,34.2501791
n_23815,-80.40276708,33.62166299
n_23816,-80.36465588,33.81138156
n_23817,-80.41231734,33.89335342
n_23818,-80.3955882,33.95181372
n_23819,-80.16953991,34.14231129
n_23825,-81.36050224,34.27847152
n_23842,-77.84747162,35.80516618
n_23843,-77.82293611,35.86566368
n_23844,-77.82205379,35.86721136
n_23845,-77.82168844,35.8686946
n_23846,-79.22961044,35.46480707
n_23847,-79.15148728,35.69865496
n_23848,-79.44094944,35.74320351
n_23849,-79.73145095,35.7775737
n_23850,-79.7256914,34.96080747
n_23853,-79.84850242,34.45214246
n_23854,-79.85737068,34.6460582
n_23855,-79.88592138,34.66592171
n_23856,-79.86241113,34.17387646
n_23857,-79.01922644,35.41473109
n_23858,-80.05473603,35.03164989
n_23859,-77.639056,36.45782187
n_23861,-79.08413951,36.47718966
n_2415,-77.65906292,36.44599266
n_2416,-77.67076346,36.47464151
n_2417,-77.81204998,36.49130786
n_24341,-81.12038589,36.16854409
n_244,-82.78821682,34.71681424
n_25047,-78.59897398,35.76269968
n_25052,-78.68694572,35.78554466
n_25970,-81.72746592,35.72229977
n_26041,-82.25316928,34.90077143
n_26042,-82.24009358,34.91874176
n_26258,-82.61978594,34.5020238
n_26264,-82.7002254,34.47622817
n_26265,-82.72347793,34.47667679
n_26267,-82.65500394,34.43837412
n_26268,-82.66477249,34.43980081
n_26269,-82.6658829,34.4430243
n_26270,-82.64827421,34.44720707
n_26271,-82.69434072,34.54324508
n_26272,-82.70290049,34.55276773
n_26273,-82.69343468,34.5418013
n_26274,-82.62319433,34.63100236
n_26275,-82.63969117,34.58331818
n_26276,-82.69350708,34.54078718
n_26292,-78.85058104,35.87263131
n_26302,-82.28779304,34.75976506
n_26303,-82.27537087,34.74742526
n_26304,-82.26875505,34.75042367
n_26569,-81.6627945,35.7210393
n_26570,-81.66281381,35.72099788
n_26833,-80.79061417,36.27034766
n_26871,-80.43438338,35.22455398
n_275,-82.91004879,34.95800534
n_27690,-81.6447919,35.72146639
n_27913,-80.90218295,35.56856287
n_27914,-80.90265924,35.56869498
n_27915,-80.91035555,35.58015171
n_27917,-80.8970674,35.55006228
n_27918,-80.89568579,35.54526525
n_27919,-80.895191,35.54819889
n_27920,-80.89712328,35.54846881
n_27921,-80.89709229,35.54930655
